100,43,158
1,1,70
2,2,100
3,1,30
3,27,50
4,3,10
5,2,70
5,12,30
6,21,10
7,27,70
7,28,50
8,27,70
8,33,10
9,27,100
9,28,30
9,34,10
10,4,100
11,3,10
11,6,70
12,3,70
12,8,10
13,3,10
13,9,30
14,12,50
14,13,70
14,17,70
15,16,50
15,17,100
16,12,70
16,17,10
17,17,30
17,20,100
18,21,50
18,22,100
19,21,50
19,22,100
19,23,70
19,26,10
20,21,30
20,22,70
20,25,10
21,21,10
21,22,50
21,26,10
22,29,70
23,32,50
24,35,50
25,35,70
26,36,30
27,33,100
27,36,100
28,36,30
29,33,70
29,36,70
30,34,10
30,37,50
31,34,50
31,37,50
32,34,30
32,37,100
33,37,10
34,4,50
34,5,10
35,4,50
36,4,10
37,4,50
37,5,30
38,4,50
38,5,30
39,6,70
39,7,30
40,6,100
41,7,100
42,7,30
43,6,100
43,7,30
44,8,50
45,8,10
46,8,10
47,8,50
48,8,50
49,10,50
50,9,50
50,10,100
50,11,30
51,38,70
52,9,30
53,10,50
53,11,70
53,38,30
54,13,30
55,13,70
55,14,70
55,15,50
56,13,10
56,14,50
56,15,50
57,13,30
57,14,100
57,15,50
58,13,30
58,14,30
58,15,100
59,16,70
60,16,100
61,16,100
62,16,70
63,16,30
64,18,30
64,39,30
65,18,50
65,39,10
66,19,70
66,39,10
67,19,10
68,39,30
69,20,30
70,20,10
71,20,10
72,20,50
73,20,100
74,40,30
74,41,30
75,40,70
76,40,10
76,41,50
77,40,10
78,41,70
79,23,100
79,24,30
80,23,30
80,24,30
81,23,100
81,24,70
82,23,70
83,23,10
84,25,70
85,25,100
86,25,10
87,25,100
88,25,10
89,42,10
90,43,50
91,42,50
92,42,100
93,42,70
93,43,10
94,29,50
94,30,70
94,31,70
95,29,10
96,29,70
96,31,10
97,29,70
97,30,30
98,29,30
98,31,30
99,32,30
100,32,70
1,1,80
1,2,70
1,3,60
1,4,50
1,5,40
1,6,30
1,7,20
1,8,10
2,1,10
2,2,20
2,3,30
2,4,40
2,5,50
2,6,60
2,7,70
2,8,80
3,1,10
3,2,10
3,3,10
3,4,10
3,5,10
3,6,10
3,7,10
3,8,10
4,1,10
4,2,10
4,3,10
4,4,10
4,5,10
4,6,10
4,7,10
4,8,10
5,1,10
5,2,10
5,3,10
5,4,10
5,5,10
5,6,10
5,7,10
5,8,10
6,1,80
6,2,70
6,3,60
6,4,50
6,5,40
6,6,30
6,7,20
6,8,10
7,1,10
7,2,10
7,3,10
7,4,10
7,5,10
7,6,10
7,7,10
7,8,10
8,1,10
8,2,10
8,3,10
8,4,10
8,5,10
8,6,10
8,7,10
8,8,10
9,1,10
9,2,10
9,3,10
9,4,10
9,5,10
9,6,10
9,7,10
9,8,10
10,1,10
10,2,10
10,3,10
10,4,10
10,5,10
10,6,10
10,7,10
10,8,10
11,1,10
11,2,10
11,3,10
11,4,10
11,5,10
11,6,10
11,7,10
11,8,10
12,1,10
12,2,20
12,3,30
12,4,40
12,5,50
12,6,60
12,7,70
12,8,80
13,1,10
13,2,20
13,3,30
13,4,40
13,5,50
13,6,60
13,7,70
13,8,80
14,1,10
14,2,10
14,3,10
14,4,10
14,5,10
14,6,10
14,7,10
14,8,10
15,1,10
15,2,10
15,3,10
15,4,10
15,5,10
15,6,10
15,7,10
15,8,10
16,1,10
16,2,10
16,3,10
16,4,10
16,5,10
16,6,10
16,7,10
16,8,10
17,1,80
17,2,70
17,3,60
17,4,50
17,5,40
17,6,30
17,7,20
17,8,10
18,1,10
18,2,10
18,3,10
18,4,10
18,5,10
18,6,10
18,7,10
18,8,10
19,1,80
19,2,70
19,3,60
19,4,50
19,5,40
19,6,30
19,7,20
19,8,10
20,1,80
20,2,70
20,3,60
20,4,50
20,5,40
20,6,30
20,7,20
20,8,10
21,1,10
21,2,10
21,3,10
21,4,10
21,5,10
21,6,10
21,7,10
21,8,10
22,1,80
22,2,70
22,3,60
22,4,50
22,5,40
22,6,30
22,7,20
22,8,10
23,1,10
23,2,10
23,3,10
23,4,10
23,5,10
23,6,10
23,7,10
23,8,10
24,1,10
24,2,10
24,3,10
24,4,10
24,5,10
24,6,10
24,7,10
24,8,10
25,1,10
25,2,10
25,3,10
25,4,10
25,5,10
25,6,10
25,7,10
25,8,10
26,1,80
26,2,70
26,3,60
26,4,50
26,5,40
26,6,30
26,7,20
26,8,10
27,1,10
27,2,20
27,3,30
27,4,40
27,5,50
27,6,60
27,7,70
27,8,80
28,1,80
28,2,70
28,3,60
28,4,50
28,5,40
28,6,30
28,7,20
28,8,10
29,1,10
29,2,20
29,3,30
29,4,40
29,5,50
29,6,60
29,7,70
29,8,80
30,1,10
30,2,20
30,3,30
30,4,40
30,5,50
30,6,60
30,7,70
30,8,80
31,1,10
31,2,10
31,3,10
31,4,10
31,5,10
31,6,10
31,7,10
31,8,10
32,1,80
32,2,70
32,3,60
32,4,50
32,5,40
32,6,30
32,7,20
32,8,10
33,1,80
33,2,70
33,3,60
33,4,50
33,5,40
33,6,30
33,7,20
33,8,10
34,1,80
34,2,70
34,3,60
34,4,50
34,5,40
34,6,30
34,7,20
34,8,10
35,1,10
35,2,10
35,3,10
35,4,10
